SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  113.96,  204.94,  409.22,  358.96,  523.18,  563.90,2132524366, 1087.08,  239.27,    3.18,  243.17,    6.48,  482.44,    9.66,2132619662,  492.10,   1005.62,    573.56,   1579.18
  113.16,  203.73,  406.43,  356.80,  519.59,  560.53,2134655245, 1080.12,  247.53,    3.23,  251.44,    6.57,  498.97,    9.80,2134610350,  508.77,   1018.56,    570.33,   1588.89
  121.09,  217.55,  430.02,  377.74,  551.12,  595.29,2132760509, 1146.41,  288.71,   22.56,  293.01,   26.07,  581.72,   48.62,2132746034,  630.34,   1132.84,    643.92,   1776.75
  112.16,  204.57,  403.45,  356.95,  515.61,  561.53,2132728982, 1077.14,  261.64,    4.50,  265.23,    7.81,  526.87,   12.31,2132725338,  539.18,   1042.48,    573.84,   1616.32
  112.98,  206.10,  406.41,  359.59,  519.39,  565.69,2132752521, 1085.08,  250.32,    2.81,  253.73,    6.13,  504.05,    8.94,2132731809,  512.99,   1023.44,    574.63,   1598.07
  114.70,  208.18,  412.21,  362.79,  526.90,  570.97,2134497817, 1097.87,  244.87,    2.18,  248.44,    5.52,  493.31,    7.70,2134680836,  501.01,   1020.21,    578.67,   1598.88
  108.49,  203.37,  390.22,  351.29,  498.71,  554.66,2132637009, 1053.37,  243.83,    2.78,  247.73,    6.08,  491.57,    8.86,2132689865,  500.43,    990.28,    563.52,   1553.80
  107.88,  202.48,  387.66,  349.19,  495.53,  551.67,2134693138, 1047.20,  246.12,    3.08,  249.67,    6.40,  495.78,    9.48,2134426434,  505.26,    991.32,    561.15,   1552.47
  108.36,  201.83,  389.72,  349.47,  498.08,  551.30,2132456460, 1049.38,  248.46,    3.82,  251.74,    7.15,  500.20,   10.97,2132538494,  511.17,    998.28,    562.27,   1560.54
  107.13,  200.51,  386.29,  347.52,  493.43,  548.03,2132799912, 1041.46,  246.28,    2.67,  249.49,    6.02,  495.77,    8.69,2132763692,  504.46,    989.19,    556.72,   1545.92
  107.36,  200.06,  386.87,  347.36,  494.22,  547.42,2134563321, 1041.64,  242.55,    2.42,  245.72,    5.76,  488.27,    8.18,2134636154,  496.44,    982.49,    555.60,   1538.09
  106.89,  200.05,  384.24,  345.68,  491.13,  545.72,2132511521, 1036.85,  241.33,    2.53,  244.81,    5.89,  486.14,    8.42,2132375426,  494.56,    977.27,    554.15,   1531.42
  118.07,  215.98,  418.46,  372.52,  536.53,  588.51,2134589609, 1125.04,  274.49,   19.28,  277.04,   22.62,  551.52,   41.90,2134595794,  593.42,   1088.06,    630.41,   1718.46
  107.67,  203.68,  385.92,  349.73,  493.59,  553.41,2132567035, 1047.00,  266.80,    6.30,  270.64,    9.62,  537.44,   15.92,2132651875,  553.36,   1031.03,    569.33,   1600.36
  107.31,  201.77,  384.41,  347.37,  491.72,  549.15,2132457605, 1040.86,  253.37,    4.26,  257.20,    7.59,  510.57,   11.85,2132389423,  522.42,   1002.29,    560.99,   1563.28
  106.63,  201.86,  383.07,  347.34,  489.70,  549.21,2134491290, 1038.90,  243.99,    2.08,  248.68,    5.42,  492.67,    7.49,2134501729,  500.16,    982.37,    556.70,   1539.07
  105.99,  201.55,  381.35,  346.38,  487.34,  547.94,2132389831, 1035.28,  239.60,    2.29,  244.72,    5.65,  484.33,    7.94,2132379979,  492.26,    971.67,    555.87,   1527.54
  106.78,  201.06,  382.83,  346.16,  489.62,  547.22,2134449198, 1036.84,  241.31,    2.60,  244.71,    5.91,  486.02,    8.52,2134512887,  494.53,    975.63,    555.74,   1531.37
  106.63,  195.64,  383.71,  341.10,  490.35,  536.74,2132507611, 1027.09,  233.63,    2.88,  238.40,    6.23,  472.03,    9.11,2132543744,  481.14,    962.38,    545.85,   1508.23
  106.03,  190.28,  382.92,  335.26,  488.95,  525.53,2132544146, 1014.48,  232.68,    3.72,  236.98,    7.02,  469.66,   10.74,2132496641,  480.40,    958.61,    536.27,   1494.88
  106.73,  191.84,  384.14,  337.36,  490.87,  529.21,2134564273, 1020.08,  229.60,    2.61,  234.04,    5.95,  463.65,    8.56,2134564235,  472.20,    954.52,    537.76,   1492.28
  106.24,  191.51,  383.91,  337.27,  490.15,  528.78,2132404821, 1018.93,  226.07,    2.06,  230.30,    5.38,  456.37,    7.44,2132444348,  463.81,    946.52,    536.22,   1482.73
  108.37,  194.35,  389.35,  341.60,  497.72,  535.95,2134981465, 1033.67,  232.45,    7.72,  237.27,   11.03,  469.72,   18.75,2135082345,  488.47,    967.44,    554.70,   1522.14
  115.73,  205.72,  412.18,  359.91,  527.92,  565.64,2132832629, 1093.55,  273.00,   16.54,  277.60,   19.92,  550.60,   36.46,2132615179,  587.06,   1078.52,    602.09,   1680.61
  106.68,  192.73,  383.40,  337.77,  490.08,  530.50,2132483819, 1020.58,  241.36,    4.62,  246.40,    7.89,  487.76,   12.50,2132476894,  500.27,    977.85,    543.00,   1520.85
  105.72,  191.35,  381.22,  335.72,  486.94,  527.07,2134547584, 1014.01,  236.43,    3.54,  240.99,    6.86,  477.42,   10.40,2134592952,  487.82,    964.36,    537.47,   1501.83
  105.70,  191.75,  380.38,  335.79,  486.07,  527.54,2132623807, 1013.61,  231.09,    2.50,  234.30,    5.85,  465.40,    8.35,2132609473,  473.74,    951.47,    535.88,   1487.35
  106.22,  192.41,  382.53,  336.92,  488.75,  529.33,2132419174, 1018.08,  227.75,    1.97,  231.69,    5.27,  459.44,    7.24,2132399663,  466.68,    948.18,    536.57,   1484.76
  106.53,  192.90,  383.96,  338.15,  490.50,  531.05,2134492878, 1021.55,  226.92,    2.71,  230.80,    6.03,  457.72,    8.74,2134628098,  466.46,    948.21,    539.79,   1488.00
  105.97,  192.40,  382.06,  336.93,  488.03,  529.33,2132522074, 1017.37,  226.41,    2.39,  230.25,    5.68,  456.66,    8.07,2132403135,  464.74,    944.70,    537.41,   1482.10
  106.38,  192.50,  382.65,  337.42,  489.03,  529.92,2132667649, 1018.94,  231.00,    3.66,  234.30,    6.92,  465.30,   10.58,2132700233,  475.88,    954.33,    540.49,   1494.82
  105.55,  190.93,  380.84,  335.35,  486.39,  526.28,2134860927, 1012.67,  231.02,    2.98,  234.62,    6.34,  465.64,    9.33,2134807339,  474.97,    952.04,    535.60,   1487.64
  105.63,  191.22,  380.50,  335.23,  486.13,  526.45,2132362031, 1012.58,  227.94,    2.46,  232.47,    5.80,  460.41,    8.26,2132524008,  468.67,    946.54,    534.71,   1481.25
  128.26,  229.21,  457.30,  397.24,  585.57,  626.46,2134655112, 1212.02,  262.52,   13.69,  267.00,   17.02,  529.52,   30.71,2134507915,  560.22,   1115.08,    657.17,   1772.25
  104.87,  193.50,  376.44,  336.15,  481.31,  529.65,2132505995, 1010.96,  242.61,    4.16,  247.71,    7.45,  490.32,   11.61,2132586111,  501.93,    971.63,    541.27,   1512.89
  104.18,  192.17,  375.55,  334.68,  479.73,  526.85,2132544210, 1006.58,  238.00,    3.39,  241.69,    6.71,  479.69,   10.10,2132521319,  489.79,    959.43,    536.94,   1496.37
  104.62,  191.63,  376.85,  334.77,  481.47,  526.40,2134702162, 1007.87,  236.91,    3.48,  240.99,    6.81,  477.90,   10.29,2134728529,  488.20,    959.37,    536.69,   1496.06
