skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
7822920,2718870,1603672,98292096,5035296,140,599228,462,635166,264068,754824,2691738,140,601552,7822458,2083704,1339604,97537272,2343558,0,0,6636742,79940,4641378,8085742,0,17808,103054,4181968,0,30492,210966,14,17500,104006,2454774,79940,4610886,7874776,0,308,0
7845040,2698710,1907220,98044800,5027092,224,592242,280,618016,299978,813666,2667952,140,603568,7844760,2080694,1607242,97231134,2359140,84,0,6648278,79296,4675888,7840658,0,17248,102536,4127732,0,17262,58842,14,17528,103670,2520546,79296,4658626,7781816,0,0,0
7841512,2696204,1698774,98778624,5037340,140,595714,392,592340,304976,814772,2672852,0,606718,7841120,2103864,1393798,97963852,2364488,140,0,6640494,79114,4667950,7897932,0,17304,102648,4061526,0,44058,48062,14,17528,103698,2578968,79114,4623892,7849870,0,0,0
7845838,2730518,1642830,98627256,5034386,140,592900,392,585704,272202,805322,2678634,0,602784,7845446,2144814,1370628,97821934,2355752,140,0,6635034,79030,4721780,7698376,0,17346,102606,3997210,0,13622,49028,14,17388,103474,2637824,79030,4708158,7649348,0,0,0
7835618,2726990,1778812,99043938,5014436,140,595532,168,582526,276822,800086,2641338,0,607950,7835450,2144464,1501990,98243852,2373098,140,0,6632668,79366,5058158,7926506,0,17388,102466,3989566,0,7392,64162,14,17486,103418,2643102,79366,5050766,7862344,0,0,0
7855568,2727452,1997674,98208306,5010306,140,589092,238,573020,295694,817348,2691990,0,604394,7855330,2154432,1701980,97390958,2318316,140,0,6641306,79562,4957596,8061830,0,17388,101668,3988712,0,24696,67228,0,17542,103040,2652594,79562,4932900,7994602,0,0,0
7884394,2713354,1748418,97134086,5024852,140,589946,1050,561974,264404,821926,2679796,0,604870,7883344,2151380,1484014,96312160,2345056,140,0,6664434,78988,5543608,7883834,0,17318,101682,4048338,0,12390,54950,0,17416,103810,2616096,78988,5531218,7828884,0,0,0
7872508,2742320,3153346,97500046,5012588,322,594608,784,559272,118720,839398,2674476,0,607502,7871724,2183048,3034626,96660648,2338112,322,0,6660724,80052,5136950,8231048,0,17444,102942,3998526,0,7448,67830,0,17388,103250,2662198,80052,5129502,8163218,0,56,0
7883120,2717008,2387784,97786976,5011062,140,593264,644,559776,22456,829668,2652090,0,570066,7882476,2157232,2365328,96957308,2358972,140,23198,6658792,78624,7026572,8171996,0,17388,102326,3977330,0,2436,65352,0,17458,102788,2681462,78624,7024136,8106644,0,0,0
7879802,2730602,3820376,97148464,5018958,140,593026,1022,602504,27118,773444,2710302,0,593796,7878780,2128098,3793258,96375020,2308656,140,0,6659716,79534,6965826,8332338,0,17318,102592,4399934,0,4200,120218,0,17472,102606,2259782,79534,6961626,8212120,0,0,0
7887488,2741018,3780350,96876766,5014338,140,599368,728,581210,17780,796404,2689302,0,599116,7886760,2159808,3762570,96080362,2325036,140,252,6663006,79436,7094612,8188334,0,17360,102438,4185384,0,2142,23310,0,17528,102228,2477622,79436,7092470,8165024,0,0,210
7870100,2702546,3465924,115640868,9163238,0,760718,1358,569282,6552,775922,4771774,140,763000,7868742,2133264,3459372,114864946,4391464,0,0,6659898,78568,7064190,10145324,0,32102,187166,4100754,0,0,24374,0,31598,187712,2559144,78568,7064190,10120950,0,504,0
13898808,4235000,2862440,133952532,9196894,0,767872,1540,906402,7224,626276,4614190,140,773766,13897268,3328598,2855216,133326256,4582704,0,0,12254494,143430,7841960,11899734,0,32186,188790,7386414,0,0,36288,0,31542,188384,4868080,143430,7841960,11863446,0,644,406
13923868,4238612,3894394,134949052,9150932,0,764526,1246,824460,13076,665434,4652102,140,777994,13922622,3414152,3881318,134283618,4498830,0,0,12269670,143668,6861470,11581262,0,31962,186886,7218918,0,994,69286,0,31388,188608,5050752,143668,6860476,11511976,0,574,0
13792240,4258660,3500994,134898302,9245208,0,775544,1106,799512,8876,673288,4571056,140,774872,13791134,3459148,3492118,134225014,4674152,0,672,12163452,144214,7165116,11267242,0,32214,189224,7155442,0,14,48062,0,31514,187376,5008010,144214,7165102,11219180,0,700,1848
