,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-09-18,11:59:15.137,   44.52,  325.30,  172.05,  389.37,,,,,  216.58,  714.67,    105311,  931.25,  297.17,    8.49,  292.60,    5.08,,,,,  589.77,   13.56,     53687,  603.34,    806.35,    728.23,   1534.58
2023-09-18,11:59:16.137,   31.43,  324.70,  124.97,  371.16,,,,,  156.40,  695.86,    105171,  852.25,  280.75,    4.91,  275.83,    1.53,,,,,  556.58,    6.43,     53841,  563.01,    712.98,    702.29,   1415.26
2023-09-18,11:59:17.137,   28.08,  322.84,  112.05,  364.16,,,,,  140.13,  687.00,    105136,  827.13,  273.45,    4.44,  269.14,    1.04,,,,,  542.59,    5.48,     53822,  548.07,    682.71,    692.48,   1375.19
2023-09-18,11:59:18.137,   28.21,  322.35,  112.52,  363.92,,,,,  140.73,  686.28,    105111,  827.00,  269.34,    4.63,  264.89,    1.22,,,,,  534.23,    5.86,     53772,  540.09,    674.96,    692.13,   1367.09
2023-09-18,11:59:19.138,   31.57,  395.75,  126.31,  442.47,,,,,  157.88,  838.22,    105352,  996.10,  338.03,    4.89,  334.70,    1.49,,,,,  672.72,    6.37,     54139,  679.10,    830.61,    844.59,   1675.20
2023-09-18,11:59:20.137,   37.80,  418.82,  148.86,  475.24,,,,,  186.66,  894.07,    105167, 1080.73,  354.69,    7.45,  350.89,    4.06,,,,,  705.58,   11.51,     54017,  717.09,    892.24,    905.58,   1797.82
2023-09-18,11:59:21.138,    5.27,  429.00,   24.01,  439.39,,,,,   29.28,  868.39,    104934,  897.67,  363.59,    5.14,  359.46,    1.74,,,,,  723.05,    6.88,     54236,  729.93,    752.33,    875.27,   1627.60
2023-09-18,11:59:22.137,    4.75,  427.36,   22.51,  437.03,,,,,   27.26,  864.39,    104819,  891.65,  357.62,    4.95,  353.50,    1.58,,,,,  711.12,    6.54,     54148,  717.66,    738.38,    870.93,   1609.31
2023-09-18,11:59:23.138,    3.57,  426.43,   17.93,  434.17,,,,,   21.49,  860.61,    104916,  882.10,  347.37,    4.40,  343.81,    0.99,,,,,  691.18,    5.39,     54178,  696.57,    712.67,    866.00,   1578.67
2023-09-18,11:59:24.138,    3.97,  425.47,   19.97,  434.03,,,,,   23.93,  859.50,    104830,  883.44,  340.05,    4.51,  336.84,    1.12,,,,,  676.89,    5.63,     54046,  682.52,    700.82,    865.14,   1565.96
2023-09-18,11:59:25.137,   22.50,  430.22,   84.06,  462.87,,,,,  106.56,  893.09,    105016,  999.65,  405.56,   22.85,  401.92,   19.49,,,,,  807.49,   42.34,     54352,  849.83,    914.05,    935.43,   1849.48
2023-09-18,11:59:26.137,    4.60,  426.46,   22.20,  435.83,,,,,   26.80,  862.29,    104835,  889.09,  361.79,    4.88,  358.57,    1.49,,,,,  720.35,    6.37,     54239,  726.72,    747.15,    868.65,   1615.81
2023-09-18,11:59:27.137,    3.61,  425.87,   18.50,  433.62,,,,,   22.11,  859.49,    104918,  881.60,  353.80,    4.77,  349.18,    1.38,,,,,  702.98,    6.15,     54333,  709.13,    725.09,    865.64,   1590.73
2023-09-18,11:59:28.137,    4.20,  424.91,   20.50,  433.53,,,,,   24.69,  858.44,    104851,  883.13,  346.30,    4.60,  342.71,    1.20,,,,,  689.01,    5.80,     54144,  694.80,    713.70,    864.24,   1577.94
2023-09-18,11:59:29.137,    3.24,  304.44,   16.76,  311.52,,,,,   20.00,  615.96,    104929,  635.97,  245.76,    4.43,  242.59,    1.06,,,,,  488.35,    5.49,     53588,  493.84,    508.35,    621.46,   1129.80
2023-09-18,11:59:30.137,   13.74,  293.35,   56.40,  316.48,,,,,   70.14,  609.83,    104895,  679.96,  235.38,    8.28,  232.48,    4.83,,,,,  467.87,   13.12,     53503,  480.98,    538.00,    622.94,   1160.94
2023-09-18,11:59:31.138,  126.10,  489.05,  478.44,  665.15,,,,,  604.55, 1154.20,    106097, 1758.74,  246.62,    5.38,  243.93,    1.99,,,,,  490.55,    7.37,     53830,  497.92,   1095.10,   1161.57,   2256.67
2023-09-18,11:59:32.139,  168.25,  376.66,  620.08,  595.15,,,,,  788.33,  971.81,    106538, 1760.14,  239.31,    4.69,  236.48,    1.31,,,,,  475.79,    5.99,     53758,  481.78,   1264.12,    977.80,   2241.93
2023-09-18,11:59:33.138,  167.88,  380.91,  619.48,  599.49,,,,,  787.36,  980.39,    106671, 1767.75,  238.35,    5.03,  235.52,    1.63,,,,,  473.87,    6.66,     53528,  480.54,   1261.23,    987.06,   2248.29
2023-09-18,11:59:34.139,  167.90,  379.21,  620.04,  597.89,,,,,  787.94,  977.10,    106692, 1765.04,  237.14,    4.83,  232.54,    1.42,,,,,  469.68,    6.25,     53583,  475.93,   1257.62,    983.35,   2240.96
2023-09-18,11:59:35.139,  168.09,  370.26,  620.14,  588.81,,,,,  788.23,  959.07,    106563, 1747.30,  282.68,   24.14,  277.50,   20.63,,,,,  560.18,   44.77,     53693,  604.95,   1348.41,   1003.84,   2352.24
2023-09-18,11:59:36.139,  167.95,  379.31,  620.10,  597.99,,,,,  788.04,  977.30,    106729, 1765.35,  253.83,    5.92,  250.00,    2.50,,,,,  503.83,    8.42,     53673,  512.25,   1291.87,    985.72,   2277.60
2023-09-18,11:59:37.139,  167.54,  380.54,  618.84,  598.79,,,,,  786.38,  979.33,    106548, 1765.71,  244.07,    4.85,  241.21,    1.44,,,,,  485.28,    6.29,     53625,  491.57,   1271.66,    985.62,   2257.28
