skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
188776,1766688,1432046,94480358,10902542,168,77252,14403256,167356,4975180,13791456,0,37366,221956
4961516,4202240,1184260,82520564,10442824,336,236656,14484582,167692,4750774,12935412,0,37380,220794
5169304,4537050,1501360,10106012,10879638,140,161210,14424298,168154,4809294,12612488,0,37240,220542
1988588,4101356,1625974,9948988,10923290,378,310954,14463652,167594,4945388,12745292,0,37436,220682
15021552,3958710,1834840,50617504,10836336,140,449260,14459606,169862,4805094,12901238,0,37436,222110
2047794,4352152,1193528,95891908,8253854,140,73948,14458290,168714,4885174,22536780,0,37156,222390
11604068,4309214,1938874,74441486,10803450,140,74060,14464268,168434,4801370,12666542,0,37352,222502
2324056,4158714,2126474,13753236,10831744,168,73668,14499520,168602,4826346,13003816,0,37268,221298
2016378,3870146,1704234,109797646,10870888,140,59472,14545902,168294,4767322,12832288,0,37212,220514
4679388,4176480,2857456,92577646,5824686,140,135898,14532126,169596,5534382,13212220,0,37422,220514
2067324,4164818,3372124,10177888,10825696,252,834960,14541044,168588,6267422,12749884,0,37380,219296
0,4188716,3463334,62767082,10824240,140,434028,14539056,169288,6001254,12731964,0,37394,228312
14182000,2723770,3834138,100544906,11054652,140,9086,14876736,172508,6211772,12941530,0,37758,227542
16622816,4374552,2829666,98755650,11043466,140,742812,14875560,172606,6428058,12844720,0,38024,230398
2012290,4937254,2723406,67314800,11046154,168,75684,14871192,172298,6323604,12705966,0,37842,227178
7502754,4799816,3196746,9983960,11362148,140,78694,14868182,172564,6357148,12714282,0,37380,227612
4609892,4249294,3506426,10023300,11091136,0,58212,14874552,172046,6288898,12903072,0,38248,227276
5972106,4544484,3273004,145413352,11043704,0,75600,14874986,170870,6508152,12941964,0,38276,227598
2264668,4212054,3419052,141561392,11033316,0,694078,14877002,171682,6075034,13512240,0,37702,227514
2050300,4255650,2370816,23710372,11081588,0,862344,14863198,170394,5312832,13348216,0,38038,228452
3733814,3301746,10074064,131737718,11515826,0,80108,14866292,170534,2983750,12559176,0,37212,226548
8477840,3443160,2062690,75033182,10927910,0,233352,14760802,169260,5178208,12808726,0,37954,228312
4575410,4217920,1950158,45681412,11148354,0,75740,14765450,170562,4749752,12677434,0,38626,227948
16478826,0,2040360,1818082,11173064,0,75096,14749966,170870,4603690,11540816,0,38850,225442
11262398,4586834,1849834,110896128,11175920,0,66024,14788452,169722,4589270,12343142,0,38752,224630
2031820,4880484,1589672,146695836,11133612,0,137312,14755020,170786,4693892,12631864,0,38920,223846
1992942,4440996,1648780,68752096,11151644,0,841400,14752626,171822,4733960,12767300,0,38990,226688
440230,4218004,1871380,44931334,11126976,140,227766,14765772,171836,4616038,13630848,0,38962,224700
7581742,4223842,2262540,33874498,11151154,252,427994,14738934,171976,5124462,13287176,0,38822,225554
15855616,4208190,1905232,89866644,11122454,140,531874,14775544,171472,4934636,12368902,0,38878,225554
2002224,4205306,1945762,69407226,11128194,112,34454,14716548,172312,4923688,13591928,0,38346,225428
16524494,4146828,1841896,107278612,10084340,154,293118,14758674,172536,5095314,13773144,0,31752,174860
13118112,3798592,1968176,47710348,8608894,266,761292,11434416,134988,5115208,12008962,0,30548,177016
1665650,4111324,1946476,27983522,8624294,154,736722,11407928,135072,5373774,11778564,0,30660,175392
1661534,3596180,2407608,29607354,8783544,154,466452,11403868,134736,5132750,11454030,0,30478,175518
8553244,3365922,2383584,28229208,8603812,154,58436,11396112,134162,5171236,11920328,0,30408,175490
