,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-10-29,23:28:12.579,   38.56,   74.70,  157.64,  149.45,,,,,  196.20,  224.15,2132323808,  420.35,   62.18,    3.90,   50.37,    0.53,,,,,  112.55,    4.43,2132258793,  116.98,    308.75,    228.57,    537.33
2023-10-29,23:28:13.579,   38.00,   73.92,  155.54,  147.73,,,,,  193.54,  221.65,2134412517,  415.19,   62.89,    4.40,   51.99,    1.03,,,,,  114.88,    5.42,2134472251,  120.30,    308.42,    227.07,    535.49
2023-10-29,23:28:14.579,   38.46,   73.96,  156.44,  147.88,,,,,  194.90,  221.84,2132349809,  416.75,   57.93,    4.00,   48.73,    0.63,,,,,  106.66,    4.63,2132286190,  111.29,    301.57,    226.47,    528.04
2023-10-29,23:28:15.580,   38.02,   73.07,  153.95,  145.97,,,,,  191.97,  219.04,2134411166,  411.02,   54.34,    4.04,   43.64,    0.67,,,,,   97.97,    4.71,2134421522,  102.69,    289.95,    223.76,    513.70
2023-10-29,23:28:16.579,   37.96,   72.56,  153.82,  145.52,,,,,  191.78,  218.08,2132266958,  409.86,   51.12,    4.06,   42.91,    0.70,,,,,   94.03,    4.76,2132277702,   98.79,    285.81,    222.83,    508.64
2023-10-29,23:28:17.580,   37.64,   72.00,  152.84,  144.43,,,,,  190.48,  216.42,2132307598,  406.90,   47.75,    3.97,   44.24,    0.60,,,,,   92.00,    4.57,2132279677,   96.56,    282.47,    220.99,    503.46
2023-10-29,23:28:18.580,   43.31,   74.39,  172.64,  153.72,,,,,  215.95,  228.11,2134948214,  444.06,   63.86,   13.93,   58.64,   10.57,,,,,  122.50,   24.50,2135314068,  147.00,    338.45,    252.61,    591.06
2023-10-29,23:28:19.580,   47.69,   74.33,  188.58,  159.28,,,,,  236.27,  233.61,2133273401,  469.88,  166.18,   16.04,  160.76,   12.72,,,,,  326.94,   28.77,2133035341,  355.71,    563.21,    262.38,    825.59
2023-10-29,23:28:20.580,   38.43,   71.22,  155.72,  144.47,,,,,  194.15,  215.68,2132537582,  409.84,   84.67,    4.83,   74.68,    1.47,,,,,  159.35,    6.29,2132447575,  165.65,    353.50,    221.98,    575.48
2023-10-29,23:28:21.581,   37.18,   69.90,  151.39,  141.65,,,,,  188.57,  211.54,2134389280,  400.11,   64.81,    4.23,   57.90,    0.84,,,,,  122.71,    5.07,2134382211,  127.78,    311.27,    216.62,    527.89
2023-10-29,23:28:22.580,   37.61,   69.70,  152.08,  141.04,,,,,  189.69,  210.74,2132315706,  400.43,   58.48,    4.56,   52.02,    1.20,,,,,  110.50,    5.76,2132317743,  116.26,    300.19,    216.50,    516.69
2023-10-29,23:28:23.581,   36.18,   68.68,  146.09,  137.60,,,,,  182.27,  206.28,2134430443,  388.54,   57.48,    4.08,   45.89,    0.70,,,,,  103.37,    4.79,2134408488,  108.15,    285.63,    211.06,    496.70
2023-10-29,23:28:24.581,   35.48,   67.71,  143.14,  135.15,,,,,  178.62,  202.86,2132261572,  381.48,   52.49,    4.27,   44.01,    0.87,,,,,   96.50,    5.14,2132265173,  101.63,    275.11,    208.00,    483.11
2023-10-29,23:28:25.581,   35.33,   67.11,  143.21,  134.64,,,,,  178.54,  201.75,2134425102,  380.29,   51.13,    3.99,   47.39,    0.61,,,,,   98.52,    4.59,2134429975,  103.11,    277.06,    206.34,    483.40
2023-10-29,23:28:26.581,   34.75,   66.21,  140.90,  132.89,,,,,  175.65,  199.10,2132272510,  374.75,   48.79,    3.94,   41.90,    0.58,,,,,   90.68,    4.51,2132264301,   95.20,    266.34,    203.62,    469.95
2023-10-29,23:28:27.582,   34.77,   65.93,  141.47,  133.01,,,,,  176.23,  198.94,2134413212,  375.17,   49.88,    4.18,   42.05,    0.81,,,,,   91.92,    4.99,2134432961,   96.91,    268.16,    203.93,    472.09
2023-10-29,23:28:28.581,   34.75,   65.56,  141.16,  132.52,,,,,  175.91,  198.08,2132296770,  373.99,   52.27,    4.18,   46.32,    0.82,,,,,   98.59,    5.00,2132275822,  103.59,    274.50,    203.08,    477.58
2023-10-29,23:28:29.582,   57.05,   80.38,  224.54,  176.04,,,,,  281.59,  256.42,2134621139,  538.01,  125.54,   13.22,  121.95,    9.84,,,,,  247.49,   23.06,2134856003,  270.55,    529.08,    279.48,    808.56
2023-10-29,23:28:30.582,   35.78,   65.25,  145.02,  133.48,,,,,  180.79,  198.73,2132841955,  379.52,   94.43,    5.10,   81.16,    1.73,,,,,  175.60,    6.82,2132688388,  182.42,    356.39,    205.55,    561.94
2023-10-29,23:28:31.582,   34.40,   63.75,  140.45,  130.47,,,,,  174.85,  194.21,2132417796,  369.06,   69.61,    4.25,   59.06,    0.89,,,,,  128.67,    5.14,2132338889,  133.81,    303.51,    199.35,    502.87
2023-10-29,23:28:32.583,   33.72,   63.03,  137.91,  128.61,,,,,  171.62,  191.64,2134442282,  363.26,   56.06,    3.83,   48.39,    0.45,,,,,  104.45,    4.28,2134478640,  108.73,    276.07,    195.92,    471.99
2023-10-29,23:28:33.582,   33.27,   62.33,  135.93,  127.05,,,,,  169.20,  189.38,2132272730,  358.59,   52.11,    4.03,   47.91,    0.65,,,,,  100.02,    4.68,2132288754,  104.70,    269.22,    194.06,    463.28
2023-10-29,23:28:34.583,   32.82,   61.76,  134.50,  125.87,,,,,  167.32,  187.64,2134466007,  354.95,   48.37,    3.91,   44.88,    0.54,,,,,   93.25,    4.46,2134411071,   97.71,    260.57,    192.09,    452.66
2023-10-29,23:28:35.582,   32.62,   61.20,  132.92,  124.22,,,,,  165.54,  185.42,2132280229,  350.97,   46.72,    4.14,   38.21,    0.78,,,,,   84.92,    4.92,2132261043,   89.84,    250.47,    190.34,    440.81
2023-10-29,23:28:36.583,   32.48,   60.79,  131.32,  123.14,,,,,  163.80,  183.93,2134266200,  347.73,   46.90,    3.99,   41.48,    0.63,,,,,   88.38,    4.63,2134284739,   93.00,    252.18,    188.55,    440.73
2023-10-29,23:28:37.583,   32.56,   60.17,  131.58,  122.53,,,,,  164.15,  182.70,2132287861,  346.85,   49.67,    4.51,   47.72,    1.12,,,,,   97.39,    5.62,2132291437,  103.02,    261.54,    188.33,    449.87
2023-10-29,23:28:38.584,   31.67,   59.50,  128.87,  120.83,,,,,  160.54,  180.33,2134388495,  340.87,   48.33,    3.94,   41.34,    0.56,,,,,   89.67,    4.50,2134397091,   94.17,    250.21,    184.82,    435.04
2023-10-29,23:28:39.583,   55.61,   70.13,  213.10,  160.76,,,,,  268.72,  230.89,2132475228,  499.61,  130.22,   17.72,  125.78,   14.38,,,,,  256.00,   32.10,2132647057,  288.10,    524.71,    262.99,    787.70
2023-10-29,23:28:40.583,   33.98,   61.03,  138.77,  126.21,,,,,  172.76,  187.24,2132692031,  360.00,  106.20,    5.31,   99.66,    1.95,,,,,  205.86,    7.25,2132565037,  213.11,    378.62,    194.49,    573.11
2023-10-29,23:28:41.584,   31.63,   58.74,  131.03,  121.34,,,,,  162.65,  180.08,2134508555,  342.73,   75.46,    4.44,   65.08,    1.06,,,,,  140.55,    5.51,2134486032,  146.05,    303.20,    185.58,    488.78
